,business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,due_in_date,baseline_create_date,cust_payment_terms,converted_usd,business_code_enc,day_of_cleardate,month_of_cleardate,year_of_cleardate,day_of_postingdate,month_of_postingdate,year_of_postingdate,day_of_due,month_of_due,year_of_due,day_of_createdate,month_of_createdate,year_of_createdate,cust_payment_terms_enc,name_customer_enc,Aging Bucket
0,CA02,140105686,SYSC llc,2020-04-25 06:43:08.500000000,2020.0,2960623488.0,2020-03-30 00:00:00.000000000,2020-04-10 00:00:00.000000000,2020-03-31 00:00:00.000000000,CA10,2309.7899999999995,65,,,,30,3,2020,10,4,2020,31,3,2020,5,2706,16-30
1,U001,200744019,TARG us,2020-04-11 06:39:38.250000000,2020.0,1930659387.0,2020-03-19 00:00:00.000000000,2020-04-03 00:00:00.000000000,2020-03-19 00:00:00.000000000,NAA8,11173.02,65,,,,19,3,2020,3,4,2020,19,3,2020,20,2792,0-15
2,U001,200418007,AM ,2020-03-22 03:08:27.593750000,2020.0,1930610806.0,2020-03-11 00:00:00.000000000,2020-03-26 00:00:00.000000000,2020-03-11 00:00:00.000000000,NAA8,3525.59,65,,,,11,3,2020,26,3,2020,11,3,2020,20,93,
3,U001,200739534,OK systems,2020-04-30 12:45:36.878906250,2020.0,1930788296.0,2020-04-15 00:00:00.000000000,2020-04-30 00:00:00.000000000,2020-04-15 00:00:00.000000000,NAA8,121105.65,65,,,,15,4,2020,30,4,2020,15,4,2020,20,2007,0-15
4,U001,200353024,DECA corporation,2020-04-19 16:15:18.500000000,2020.0,1930817482.0,2020-04-23 00:00:00.000000000,2020-04-26 00:00:00.000000000,2020-04-16 00:00:00.000000000,NAM2,3726.06,65,,,,23,4,2020,26,4,2020,16,4,2020,35,709,
5,U001,200744019,TARG associates,2020-04-10 05:12:12.000000000,2020.0,1930676042.0,2020-03-21 00:00:00.000000000,2020-04-05 00:00:00.000000000,2020-03-21 00:00:00.000000000,NAA8,5893.01,65,,,,21,3,2020,5,4,2020,21,3,2020,20,2783,0-15
6,CA02,140106408,WAL-M corp,2020-03-28 18:20:34.500000000,2020.0,2960618790.0,2020-03-06 00:00:00.000000000,2020-03-16 00:00:00.000000000,2020-03-06 00:00:00.000000000,CA10,64982.589,65,,,,6,3,2020,16,3,2020,6,3,2020,5,2982,0-15
7,U001,200337148,COAS llc,2020-03-21 23:11:03.250000000,2020.0,1930592246.0,2020-03-02 00:00:00.000000000,2020-03-17 00:00:00.000000000,2020-03-02 00:00:00.000000000,NAA8,11380.83,65,,,,2,3,2020,17,3,2020,2,3,2020,20,545,0-15
8,U001,200794332,COST associates,2020-04-22 21:38:31.859375000,2020.0,1930731070.0,2020-04-07 00:00:00.000000000,2020-04-22 00:00:00.000000000,2020-04-07 00:00:00.000000000,NAAX,3863.93,65,,,,7,4,2020,22,4,2020,7,4,2020,22,608,0-15
9,U001,200794332,COST llc,2020-05-13 07:16:32.468750000,2020.0,1930803605.0,2020-04-23 00:00:00.000000000,2020-05-08 00:00:00.000000000,2020-04-23 00:00:00.000000000,NAAX,74453.01,65,,,,23,4,2020,8,5,2020,23,4,2020,22,614,0-15
10,U001,200803720,DEC corp,2020-04-01 06:12:47.187500000,2020.0,1930698352.0,2020-03-25 00:00:00.000000000,2020-04-08 00:00:00.000000000,2020-03-16 00:00:00.000000000,NAM4,138.6,65,,,,25,3,2020,8,4,2020,16,3,2020,37,697,
11,U001,200794332,COST co,2020-03-31 16:54:24.500000000,2020.0,1930647189.0,2020-03-13 00:00:00.000000000,2020-03-28 00:00:00.000000000,2020-03-13 00:00:00.000000000,NAAX,32715.47,65,,,,13,3,2020,28,3,2020,13,3,2020,22,609,0-15
12,U001,200020431,DEC us,2020-05-13 09:49:08.250000000,2020.0,1930861637.0,2020-05-06 00:00:00.000000000,2020-05-24 00:00:00.000000000,2020-05-01 00:00:00.000000000,NAM4,174.72,65,,,,6,5,2020,24,5,2020,1,5,2020,37,704,
13,U001,200769623,WAL-MAR associates,2020-03-25 07:03:43.750000000,2020.0,1930635649.0,2020-03-12 00:00:00.000000000,2020-03-27 00:00:00.000000000,2020-03-12 00:00:00.000000000,NAH4,767.78,65,,,,12,3,2020,27,3,2020,12,3,2020,33,2991,
