,business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,due_in_date,baseline_create_date,cust_payment_terms,converted_usd,business_code_enc,day_of_cleardate,month_of_cleardate,year_of_cleardate,day_of_postingdate,month_of_postingdate,year_of_postingdate,day_of_due,month_of_due,year_of_due,day_of_createdate,month_of_createdate,year_of_createdate,cust_payment_terms_enc,name_customer_enc,Aging Bucket
0,CA02,140105686,SYSC llc,2020-04-22 09:07:22.375000000,2020.0,2960623488.0,2020-03-30 00:00:00.000000000,2020-04-10 00:00:00.000000000,2020-03-31 00:00:00.000000000,CA10,2309.7899999999995,66,,,,30,3,2020,10,4,2020,31,3,2020,4,2728,0-15
1,U001,200744019,TARG us,2020-04-05 19:43:39.000000000,2020.0,1930659387.0,2020-03-19 00:00:00.000000000,2020-04-03 00:00:00.000000000,2020-03-19 00:00:00.000000000,NAA8,11173.02,66,,,,19,3,2020,3,4,2020,19,3,2020,19,2813,0-15
2,U001,200418007,AM ,2020-03-27 08:37:56.226562500,2020.0,1930610806.0,2020-03-11 00:00:00.000000000,2020-03-26 00:00:00.000000000,2020-03-11 00:00:00.000000000,NAA8,3525.59,66,,,,11,3,2020,26,3,2020,11,3,2020,19,91,0-15
3,U001,200739534,OK systems,2020-04-27 14:25:29.296875000,2020.0,1930788296.0,2020-04-15 00:00:00.000000000,2020-04-30 00:00:00.000000000,2020-04-15 00:00:00.000000000,NAA8,121105.65,66,,,,15,4,2020,30,4,2020,15,4,2020,19,2017,
4,U001,200353024,DECA corporation,2020-04-16 19:21:36.062500000,2020.0,1930817482.0,2020-04-23 00:00:00.000000000,2020-04-26 00:00:00.000000000,2020-04-16 00:00:00.000000000,NAM2,3726.06,66,,,,23,4,2020,26,4,2020,16,4,2020,35,728,
5,U001,200744019,TARG associates,2020-04-07 14:52:43.531250000,2020.0,1930676042.0,2020-03-21 00:00:00.000000000,2020-04-05 00:00:00.000000000,2020-03-21 00:00:00.000000000,NAA8,5893.01,66,,,,21,3,2020,5,4,2020,21,3,2020,19,2804,0-15
6,CA02,140106408,WAL-M corp,2020-03-27 19:43:07.375000000,2020.0,2960618790.0,2020-03-06 00:00:00.000000000,2020-03-16 00:00:00.000000000,2020-03-06 00:00:00.000000000,CA10,64982.589,66,,,,6,3,2020,16,3,2020,6,3,2020,4,2999,0-15
7,U001,200337148,COAS llc,2020-03-16 21:11:08.822265625,2020.0,1930592246.0,2020-03-02 00:00:00.000000000,2020-03-17 00:00:00.000000000,2020-03-02 00:00:00.000000000,NAA8,11380.83,66,,,,2,3,2020,17,3,2020,2,3,2020,19,554,
8,U001,200794332,COST associates,2020-04-21 05:08:27.078125000,2020.0,1930731070.0,2020-04-07 00:00:00.000000000,2020-04-22 00:00:00.000000000,2020-04-07 00:00:00.000000000,NAAX,3863.93,66,,,,7,4,2020,22,4,2020,7,4,2020,21,616,
9,U001,200794332,COST llc,2020-05-03 23:43:34.343750000,2020.0,1930803605.0,2020-04-23 00:00:00.000000000,2020-05-08 00:00:00.000000000,2020-04-23 00:00:00.000000000,NAAX,74453.01,66,,,,23,4,2020,8,5,2020,23,4,2020,21,622,
